# schemaVersion=1
# sourceURL=https://www.spectrum.com/cable-tv/channel-lineup
# capturedAt=2026-09-11T22:35:00-04:00
68827	GSN - East	Entertainment
68953	MC: Today's Hits	Music
68957	MC: Trending Hits	Music
68964	MC: Pop Energy	Music
68965	MC: Hip-Hop and R&B	Music
68966	MC: Dance	Music
68967	MC: Hip-Hop Classics	Music
68968	MC: Throwback Jams	Music
68969	MC: R&B Classics	Music
68970	MC: Today's R&B	Music
68971	MC: Gospel	Music
68972	MC: Contemporary Christian	Music
68973	MC: Rock	Music
68974	MC: Yacht Rock	Music
68975	MC: 60s & 70s Mellow Hits	Music
68978	MC: Adult Alternative	Music
68979	MC: Alt & Rock Favorites	Music
68981	MC: Classic Rock	Music
68982	MC: Soft Rock	Music
68984	MC: Happy Hits	Music
68986	MC: Pop Hits	Music
68991	MC: 70s & 80s Favorites	Music
68992	MC: 90's	Music
68993	MC: 80's	Music
68994	MC: 70's	Music
68995	MC: 60s Generation	Music
68996	MC: Solid Gold Oldies	Music
68997	MC: Pop & Country	Music
68998	MC: Today's Country	Music
68999	MC: Country Favorites	Music
69000	MC: Country Rock	Music
69001	MC: Sleep Sounds	Music
69002	MC: Relaxing Vibes	Music
69003	MC: Calming Classical	Music
69004	MC: Joyful Instrumentals	Music
69005	MC: Pop Instrumentals	Music
69006	MC: Light Classical	Music
69007	MC: Classical Masterpieces	Music
69008	MC: Soundscapes	Music
69009	MC: Smooth Jazz	Music
69010	MC: Jazz	Music
69011	MC: Blues	Music
69061	Ovation	Entertainment
69103	MC: Classic Country	Music
69109	SHO Next - West	Premiums
69116	SHO Women - West	Premiums
69156	SHO BET - West	Premiums
70253	FXM	Movies
70388	OWN - East	Entertainment
70522	Oxygen - East	Entertainment
71280	SundanceTV - East	Movies
71503	Shop Zeal 5	Shopping
71511	Shop Zeal 4	Shopping
71524	Shop Zeal 3	Shopping
71533	LOVE	News & Info
71764	BYU TV	Inspiration
71799	Bloomberg Television	News & Info
71914	ESPN Deportes	Latino
72014	STARZ ENCORE BLACK - East	Premiums
72015	STARZ ENCORE ACTION - East	Premiums
72094	FM	Entertainment
72123	EWTN en Español	Latino
72189	FOX Deportes	Latino
72524	Zing	International
72737	Zee Business	International
72738	Zee Marathi	International
72744	Zee Kannada	International
73318	Cubaplay	Latino
73413	FETV	Entertainment
73541	TV Land - East	Entertainment
73882	UniMás - East	Latino
74073	MGM+ MARQUEE - East	Premiums
74550	Univisión tlnovelas	Latino
74885	Disney Jr - East	Kids
75077	MTV2 - East	Entertainment
75220	MLB Strike Zone	Sports
76351	MC: Feel-Good Favorites	Music
76408	Cine Sony	Latino
76950	BeIN SPORTS	Sports
76955	BeIN SPORTS Español	Latino
76964	N+ Foro	Latino
77030	Zee Telugu	International
77032	ZEE TV	International
77033	TUDN	Latino
78808	American Heroes Channel	Entertainment
78850	Justice Central	Entertainment
79605	Ultra Docu	Latino
79606	Ultra Kidz	Latino
79607	Ultra Fiesta	Latino
79610	SET Asia	International
79680	Ultra Cine	Latino
79692	Ultra Mex	Latino
79695	Ultra Clasico	Latino
79696	Ultra Macho	Latino
79715	SWAGAT TV	International
80149	Ultra Familia	Latino
80559	Aplauso TV	Latino
80597	Cowboy Channel	Sports
80617	Shop Zeal 8	Shopping
80621	Willow TV	International
80834	JBS (Jewish Broadcasting Service)	Inspiration
81270	Cars.TV	Entertainment
81283	Pets.TV	Entertainment
81289	Recipe.TV	Entertainment
82423	Shop Zeal 6	Shopping
82470	Comedy.TV	Entertainment
82547	FOX Sports 1	Sports
82649	Nick Jr - East	Kids & Family
82654	Nicktoons - East	Kids & Family
82696	QVC2	Shopping
82773	INSP	Entertainment
82809	TV Asia	International
82892	Great American Family - East	Entertainment
83075	MoviePlex	Movies
83076	STARZ ENCORE SUSPENSE - East	Premiums
83098	REVOLT	Entertainment
83185	MC: Singers & Swing	Music
83187	MC: Classic Christmas	Music
83195	MC: Easy Listening	Music
83198	MC: Sounds of The Seasons	Music
83230	Antena 3 TV	Latino
83404	STARZ ENCORE CLASSIC - East	Premiums
83953	OAN	News & Info
87167	Telefórmula	Latino
87182	Travel Channel - East	Entertainment
89383	Zee Bollywood	International
89690	BBC World News	News & Info
89714	SEC Network	Sports
90018	¡HOLA! TV	Latino
90286	Zee Tamil	International
90319	Tele El Salvador	Latino
90401	Heroes & Icons - East	Entertainment
90898	Atres Series	Latino
91071	Mexico 22	Latino
91096	NewsNation	News & Info
91314	SonLife	Inspiration
91505	Multimedios Televisión	Latino
91588	NBC Universo - East	Latino
91994	AccuWeather	News & Info
92204	Discovery Life	Kids & Family
93141	FOX Weather	News & Info
93564	Shop LC	Entertainment
96971	Logo - East	Entertainment
97047	TeenNick - East	Kids & Family
97163	Newsmax TV	News & Info
97409	aspireTV	Entertainment
99450	HSN2	Entertainment
99630	Discovery Familia	Latino
100075	Zee Bangla	International
100500	TeleHit	Latino
100502	De Película	Latino
100601	TV Chile	Latino
101441	Zee Classic	International
101452	Zee Anmol	International
101639	24 Ghanta	International
102124	BabyFirst TV (SAP)	Kids & Family
102134	Zee Cinemalu	International
102180	BabyFirst TV	Kids & Family
102309	i24	News & Info
102336	ViendoMovies	Latino
102337	QVC3	Shopping
103828	MGM+ Drive-In	Premiums
103890	FLIX - East	Premiums
103891	FLIX - West	Premiums
103892	Showtime Family Zone - East	Premiums
103893	Showtime Family Zone - West	Premiums
104904	Caracol Televisión	Latino
105642	Tarima	Latino
105678	HISTORY en Español	Latino
105723	Hallmark Family	Entertainment
109264	GEMS	News & Info
109332	Cheddar News	News & Info
110289	CLEOTV	Entertainment
111871	ACC Network	Sports
112718	Boomerang	Kids & Family
113492	TheGrio	Entertainment
114663	ITV Gold	International
114881	Hogar de HGTV	Latino
116082	TVE Internacional	Latino
117657	ESPN [4K-IP]	Sports
117788	Nat Geo Mundo	Latino
117985	CNN en Español - East	Latino
118405	Pasiones	Latino
119803	ESNE	Latino
120368	Mexicanal	Latino
122713	Vme	Latino
122968	Story TV	Entertainment
123083	Zee Kerelam	International
123084	Zee Talkies	International
123085	24 Taas	International
123086	Zee Punjabi	International
123087	Alpha ETC Punjabi	International
123088	Zee News	International
123097	Zee World	International
123101	WION	International
123102	&TV	International
126026	The Word Network	Inspiration
126128	Earth TV	Entertainment
127822	Telemicro	Latino
130088	Stellar TV	Entertainment
131889	ChimeTV	Entertainment
136901	The Impact Network	News & Info
166714	Comercio	Latino
180525	Daystar	Inspiration
183475	Local Look Today	News & Info
186393	Jewish Life TV	Inspiration
190353	NBC [4K-IP]	Broadcasters
192894	Envoy TV	Entertainment
202561	USA (IP Only)	Entertainment
